Word,Definition
abacus,Frame with balls for calculating       
abase,"Degrade or humble; to lower in rank, status, or esteem"
abate,"Reduce, diminish; To lessen to subside        "
abdicate,Formally give up the throne (or some other power or responsibility)
abdication,Giving up control authority        
aberrant,"Abnormal, deviant"
aberration,Straying away from what is normal      
abet,Help/encourage smb (in doing wrong)     
abeyance,"Temporary suspension, inactivity; Suspended action          "
abhor,"Detest, regard with disgust; To hate to detest        "
abide,Be faithful to endure        
abjure,"Give up, renounce; repudiate, recant, or shun (especially formally or under oath); Promise or swear to give up      "
abraded,Rubbed off worn away by friction      
abrasive,"Rough, suitable for grinding or polishing (such as sandpaper); causing irritation or annoyance"
abreast,"Side-by-side. the more common ""abreast of"" means keeping up with, staying aware of, or remaining equal in progress with."
abridge,Reduce or lessen; shorten by omitting parts throughout while retaining the main idea
abrogate,Repeal or annul by authority       
abscission ,"Cutting off; sudden termination; the separation of leaves, petals, or other parts from a plant or animal"
abscond,Depart suddenly and secretively; To go away suddenly (to avoid arrest)     
abstain,"Hold back, refrain (especially from something bad or unhealthy); decline to vote"
abstruse,Difficult to comprehend obscure        
abut,Border on          
abysmal,Bottomless extreme          
abyss,A deep and vast space or cavity; anything profound or infinite
acarpous,Effete no longer fertile worn out      
accede,"Agree, give consent; assume power (usually as ""accede to"")"
acclaimed,Welcomed with shouts and approval       
accolade,Praise approval          
accretion,The growing of separate things into one     ; Gradual increase; an added part or addition
acerbic,Sour; harsh or severe
acidulous   ,Slightly acid or sour; sharp or caustic
acme,"Summit, peak, highest point"
activism,"The practice of pursuing political or other goals through vigorous action, often including protests and demonstrations"
acumen,"Keen, quick, accurate insight or judgment"
adamant,Kind of stone inflexible        
adhere,"Stick (to), such as with glue, or to a plan or belief"
admonish ,"Mildly scold; caution, advise, or remind to do something"
admonitory,Containing warning          
adorn,Add beauty decorate         
adulterate ,Make impure by adding inappropriate or inferior ingredients
adulteration,Making unpure poorer in quality       
adumbrate ,Give a rough outline of; foreshadow; reveal only partially; obscure
adverse,"Opposing, harmful"
advocate    ,Speak or argue in favor of (verb); a person who pleads for a cause or on behalf of another person (noun)
aerie    ,"Dwelling or fortress built on a high place; the nest of a bird of prey, such as an eagle or hawk, built on a mountain or cliff"
